system:index,atoyac_ha,guerrero_ha,year,.geo,atoyac_cum_ha,guerrero_cum_ha,atoyac_share_of_state,periodo
0,0.0,0.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,0.0,,2001-2005
1,0.0,629.3964253676469,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,629.3964253676469,0.0,2001-2005
2,0.0,747.6305472426469,2003,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,1377.0269726102938,0.0,2001-2005
3,0.0,842.2287019301469,2004,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,2219.255674540441,0.0,2001-2005
4,0.0,865.8960722426469,2005,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,3085.1517467830877,0.0,2001-2005
5,0.0,865.8960722426469,2006,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,3951.0478190257345,0.0,2006-2010
6,0.0,889.610186305147,2007,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,4840.658005330882,0.0,2006-2010
7,0.0,984.315811305147,2008,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,5824.9738166360285,0.0,2006-2010
8,0.0,1008.082992555147,2009,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,6833.0568091911755,0.0,2006-2010
9,0.0,1102.7304081801472,2010,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,7935.787217371322,0.0,2006-2010
10,0.0,1197.379734742647,2011,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,9133.16695211397,0.0,2011-2015
11,0.0,1221.082394117647,2012,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,10354.249346231618,0.0,2011-2015
12,0.0,1221.082394117647,2013,"{""type"":""MultiPoint"",""coordinates"":[]}",0.0,11575.331740349266,0.0,2011-2015
13,142.4403109375,1411.0262753676468,2014,"{""type"":""MultiPoint"",""coordinates"":[]}",142.4403109375,12986.358015716913,0.10094802160958113,2011-2015
14,142.4403109375,1411.0262753676468,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",284.880621875,14397.38429108456,0.10094802160958113,2011-2015
15,142.4403109375,1434.725486305147,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",427.32093281249996,15832.109777389707,0.09928053296406338,2016-2020
16,142.4403109375,1434.725486305147,2017,"{""type"":""MultiPoint"",""coordinates"":[]}",569.76124375,17266.835263694855,0.09928053296406338,2016-2020
17,142.4403109375,1458.342200367647,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",712.2015546875,18725.1774640625,0.09767276219641104,2016-2020
18,142.4403109375,1529.333161305147,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",854.641865625,20254.51062536765,0.0931388362859667,2016-2020
19,142.4403109375,1553.046703492647,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",997.0821765625001,21807.557328860297,0.09171669507244433,2016-2020
20,142.4403109375,1672.0439691176473,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",1139.5224875000001,23479.601297977944,0.08518933327612613,2021-2024
21,142.4403109375,1838.3700175551471,2022,"{""type"":""MultiPoint"",""coordinates"":[]}",1281.9627984375002,25317.97131553309,0.07748185054004074,2021-2024
22,142.4403109375,2099.773515992648,2023,"{""type"":""MultiPoint"",""coordinates"":[]}",1424.4031093750002,27417.74483152574,0.06783603557841937,2021-2024
23,142.4403109375,2242.2473566176477,2024,"{""type"":""MultiPoint"",""coordinates"":[]}",1566.8434203125003,29659.992188143387,0.06352569020412015,2021-2024
