year,guerrero_ha,atoyac_ha,atoyac_share_of_state,guerrero_cum_ha,atoyac_cum_ha,periodo
2001,0.0,0.0,,0.0,0.0,2001-2005
2002,629.3964253676469,0.0,0.0,629.3964253676469,0.0,2001-2005
2003,747.6305472426469,0.0,0.0,1377.0269726102938,0.0,2001-2005
2004,842.2287019301469,0.0,0.0,2219.255674540441,0.0,2001-2005
2005,865.8960722426469,0.0,0.0,3085.1517467830877,0.0,2001-2005
2006,865.8960722426469,0.0,0.0,3951.0478190257345,0.0,2006-2010
2007,889.610186305147,0.0,0.0,4840.658005330882,0.0,2006-2010
2008,984.315811305147,0.0,0.0,5824.9738166360285,0.0,2006-2010
2009,1008.082992555147,0.0,0.0,6833.0568091911755,0.0,2006-2010
2010,1102.7304081801472,0.0,0.0,7935.787217371322,0.0,2006-2010
2011,1197.379734742647,0.0,0.0,9133.16695211397,0.0,2011-2015
2012,1221.082394117647,0.0,0.0,10354.249346231618,0.0,2011-2015
2013,1221.082394117647,0.0,0.0,11575.331740349266,0.0,2011-2015
2014,1411.0262753676468,142.4403109375,0.10094802160958113,12986.358015716913,142.4403109375,2011-2015
2015,1411.0262753676468,142.4403109375,0.10094802160958113,14397.38429108456,284.880621875,2011-2015
2016,1434.725486305147,142.4403109375,0.09928053296406338,15832.109777389707,427.32093281249996,2016-2020
2017,1434.725486305147,142.4403109375,0.09928053296406338,17266.835263694855,569.76124375,2016-2020
2018,1458.342200367647,142.4403109375,0.09767276219641104,18725.1774640625,712.2015546875,2016-2020
2019,1529.333161305147,142.4403109375,0.0931388362859667,20254.51062536765,854.641865625,2016-2020
2020,1553.046703492647,142.4403109375,0.09171669507244433,21807.557328860297,997.0821765625001,2016-2020
2021,1672.0439691176473,142.4403109375,0.08518933327612613,23479.601297977944,1139.5224875000001,2021-2024
2022,1838.3700175551471,142.4403109375,0.07748185054004074,25317.97131553309,1281.9627984375002,2021-2024
2023,2099.773515992648,142.4403109375,0.06783603557841937,27417.74483152574,1424.4031093750002,2021-2024
2024,2242.2473566176477,142.4403109375,0.06352569020412015,29659.992188143387,1566.8434203125003,2021-2024
