system:index,atoyac_ha,guerrero_ha,year,.geo
0,0,0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,629.3964253676469,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,747.6305472426469,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,842.2287019301469,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,865.8960722426469,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,865.8960722426469,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,889.610186305147,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,984.315811305147,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,1008.082992555147,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,1102.7304081801472,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,1197.379734742647,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,1221.082394117647,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,1221.082394117647,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,142.4403109375,1411.0262753676468,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,142.4403109375,1411.0262753676468,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,142.4403109375,1434.725486305147,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,142.4403109375,1434.725486305147,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,142.4403109375,1458.342200367647,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,142.4403109375,1529.333161305147,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,142.4403109375,1553.046703492647,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,142.4403109375,1672.0439691176473,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,142.4403109375,1838.3700175551471,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,142.4403109375,2099.773515992648,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,142.4403109375,2242.2473566176473,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
